file_path,token_count,estimated_pages,chunking_strategy,priority,estimated_chunks
actes_uniformes\droit des sociétés commerciales et du groupement d'intèrêt économique\ACTE UNIFORME RÉVISÉ RELATIF AU DROIT DES SOCIÉTÉS COMMERCIALES ET DU GROUPEMENT D'INTÉRÊT ÉCONOMIQUE.docx,143746,283.7,Découpage fin nécessaire,Haute,36
actes_uniformes\organisation de procédures collectives d'apurement du passif\ACTE UNIFORME PORTANT ORGANISATION DES PROCÉDURES COLLECTIVES D'APUREMENT DU PASSIF.docx,80635,153.5,Découpage fin nécessaire,Haute,20
actes_uniformes\droit des sociétés coopératives\ACTE UNIFORME RELATIF AU DROIT DES SOCIÉTÉS COOPÉRATIVES.docx,45031,86.8,Découpage fin nécessaire,Haute,11
actes_uniformes\droit commercial général\ACTE UNIFORME RÉVISÉ PORTANT SUR LE DROIT COMMERCIAL GÉNÉRAL.docx,44848,86.7,Découpage fin nécessaire,Haute,11
actes_uniformes\organisation des sûretés\ACTE UNIFORME RÉVISÉ PORTANT ORGANISATION DES SÛRETÉS.docx,31792,61.5,Découpage fin nécessaire,Haute,8
actes_uniformes\droit comptable et information financière\ACTE UNIFORME RELATIF AU DROIT COMPTABLE ET À L'INFORMATION FINANCIÈRE.docx,22372,43.2,Découpage fin nécessaire,Haute,6
actes_uniformes\contrats de transport de marchandises par route\ACTE UNIFORME RELATIF AUX CONTRATS DE TRANSPORT DE MARCHANDISES PAR ROUTE.docx,10025,20.3,Découpage fin nécessaire,Haute,3
plan_comptable\chapitres_word\partie_1\chapitre_6.docx,7882,13.7,Découpage par sections principales,Moyenne,2
plan_comptable\chapitres_word\partie_3\chapitre_1.docx,6776,12.5,Découpage par sections principales,Moyenne,2
plan_comptable\chapitres_word\partie_1\chapitre_5.docx,6570,10.9,Découpage par sections principales,Moyenne,2
actes_uniformes\droit de l'arbitrage\ACTE UNIFORME RELATIF AU DROIT DE L'ARBITRAGE.docx,6242,12.2,Découpage par sections principales,Moyenne,2
plan_comptable\chapitres_word\partie_2\chapitre_22.docx,5907,10.1,Découpage par sections principales,Moyenne,1
plan_comptable\chapitres_word\partie_2\chapitre_38.docx,5443,9.2,Découpage par sections principales,Moyenne,1
plan_comptable\chapitres_word\partie_1\chapitre_2.docx,5345,9.6,Découpage par sections principales,Moyenne,1
plan_comptable\chapitres_word\partie_1\chapitre_4.docx,4865,8.4,Conserver intact,Faible,1
actes_uniformes\médiation\ACTE UNIFORME RELATIF À LA MÉDIATION.docx,4822,9.5,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_1\chapitre_3.docx,4658,8.0,Conserver intact,Faible,1
presentation_ohada\TRAITÉ RELATIF À L'HARMONISATION DU DROIT DES AFFAIRES EN AFRIQUE.docx,4292,7.9,Conserver intact,Faible,1
presentation_ohada\Présentation de l'OHADA.docx,4229,7.5,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_3\chapitre_2.docx,4179,7.1,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_3.docx,3542,6.0,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_21.docx,2765,4.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_2.docx,2624,4.2,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_41.docx,2552,4.3,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_17.docx,2454,3.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_36.docx,2376,4.2,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_1\chapitre_1.docx,2222,4.3,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_20.docx,2169,3.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_1.docx,1991,3.5,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_23.docx,1744,3.0,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_9.docx,1663,2.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_2.docx,1655,2.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_28.docx,1619,2.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_13.docx,1591,2.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_40.docx,1531,2.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_6.docx,1491,2.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_12.docx,1479,2.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_34.docx,1466,2.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_33.docx,1424,2.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_8.docx,1421,2.2,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_25.docx,1322,2.5,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_11.docx,1287,1.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_18.docx,1195,2.1,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_16.docx,1160,1.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_32.docx,1147,2.1,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_14.docx,1137,2.1,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_5.docx,1043,1.7,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_4.docx,913,1.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_6.docx,906,1.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_35.docx,679,1.0,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_26.docx,622,1.0,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_29.docx,609,0.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_31.docx,564,1.1,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_15.docx,557,0.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_27.docx,495,0.9,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_3.docx,479,0.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_37.docx,455,0.6,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_4.docx,454,0.7,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_30.docx,437,0.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_39.docx,403,0.8,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_24.docx,309,0.5,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_5.docx,242,0.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_10.docx,232,0.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_1.docx,229,0.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_7.docx,216,0.4,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_2\chapitre_19.docx,171,0.2,Conserver intact,Faible,1
plan_comptable\chapitres_word\partie_4\chapitre_7.docx,7,0.0,Conserver intact,Faible,1
